Country,alpha_3,Date,Infected
Bhutan,BTN,1/23/2020,0
Bolivia,BOL,1/23/2020,0
Bosnia and Herzegovina,BIH,1/23/2020,0
Botswana,BWA,1/23/2020,0
Brazil,BRA,1/23/2020,0
Brunei,BRN,1/23/2020,0
Bulgaria,BGR,1/23/2020,0
Burkina Faso,BFA,1/23/2020,0
Burma,BUM,1/23/2020,0
Burundi,BDI,1/23/2020,0
Cabo Verde,CPV,1/23/2020,0
Cambodia,KHM,1/23/2020,0
Cameroon,CMR,1/23/2020,0
Canada,CAN,1/23/2020,0
Central African Republic,CAF,1/23/2020,0
Chad,TCD,1/23/2020,0
Chile,CHL,1/23/2020,0
China,CHN,1/23/2020,643
Colombia,COL,1/23/2020,0
Congo (Brazzaville),COG,1/23/2020,0
Congo (Kinshasa),COD,1/23/2020,0
Costa Rica,CRI,1/23/2020,0
Cote d'Ivoire,CIV,1/23/2020,0
Croatia,HRV,1/23/2020,0
Cuba,CUB,1/23/2020,0
Cyprus,CYP,1/23/2020,0
Czechia,CZE,1/23/2020,0
Denmark,DNK,1/23/2020,0
Djibouti,DJI,1/23/2020,0
Dominica,DMA,1/23/2020,0
Dominican Republic,DOM,1/23/2020,0
Ecuador,ECU,1/23/2020,0
Egypt,EGY,1/23/2020,0
El Salvador,SLV,1/23/2020,0
Equatorial Guinea,GNQ,1/23/2020,0
Eritrea,ERI,1/23/2020,0
Estonia,EST,1/23/2020,0
Eswatini,SWZ,1/23/2020,0
Ethiopia,ETH,1/23/2020,0
Fiji,FJI,1/23/2020,0
Finland,FIN,1/23/2020,0
France,FRA,1/23/2020,0
Gabon,GAB,1/23/2020,0
Gambia,GMB,1/23/2020,0
Georgia,GEO,1/23/2020,0
Germany,DEU,1/23/2020,0
Ghana,GHA,1/23/2020,0
Greece,GRC,1/23/2020,0
Grenada,GRD,1/23/2020,0
Guatemala,GTM,1/23/2020,0
Guinea,GIN,1/23/2020,0
Guinea-Bissau,GNB,1/23/2020,0
Guyana,GUY,1/23/2020,0
Haiti,HTI,1/23/2020,0
Holy See,VAT,1/23/2020,0
Honduras,HND,1/23/2020,0
Hungary,HUN,1/23/2020,0
Iceland,ISL,1/23/2020,0
India,IND,1/23/2020,0
Indonesia,IDN,1/23/2020,0
Iran,IRN,1/23/2020,0
Iraq,IRQ,1/23/2020,0
Ireland,IRL,1/23/2020,0
Israel,ISR,1/23/2020,0
Italy,ITA,1/23/2020,0
Jamaica,JAM,1/23/2020,0
Japan,JPN,1/23/2020,2
Jordan,JOR,1/23/2020,0
Kazakhstan,KAZ,1/23/2020,0
Kenya,KEN,1/23/2020,0
"Korea, South",KOR,1/23/2020,1
Kosovo,RKS,1/23/2020,0
Kuwait,KWT,1/23/2020,0
Kyrgyzstan,KGZ,1/23/2020,0
Laos,LAO,1/23/2020,0
Latvia,LVA,1/23/2020,0
Lebanon,LBN,1/23/2020,0
Liberia,LBR,1/23/2020,0
Libya,LBY,1/23/2020,0
Liechtenstein,LIE,1/23/2020,0
Lithuania,LTU,1/23/2020,0
Luxembourg,LUX,1/23/2020,0
Madagascar,MDG,1/23/2020,0
Malawi,MWI,1/23/2020,0
Malaysia,MYS,1/23/2020,0
Maldives,MDV,1/23/2020,0
Mali,MLI,1/23/2020,0
Malta,MLT,1/23/2020,0
Mauritania,MRT,1/23/2020,0
Mauritius,MUS,1/23/2020,0
Mexico,MEX,1/23/2020,0
Moldova,MDA,1/23/2020,0
Monaco,MCO,1/23/2020,0
Mongolia,MNG,1/23/2020,0
Montenegro,MNE,1/23/2020,0
Morocco,MAR,1/23/2020,0
Mozambique,MOZ,1/23/2020,0
Namibia,NAM,1/23/2020,0
Nepal,NPL,1/23/2020,0
Netherlands,NLD,1/23/2020,0
New Zealand,NZL,1/23/2020,0
Nicaragua,NIC,1/23/2020,0
Niger,NER,1/23/2020,0
Nigeria,NGA,1/23/2020,0
North Macedonia,MKD,1/23/2020,0
Norway,NOR,1/23/2020,0
Oman,OMN,1/23/2020,0
Pakistan,PAK,1/23/2020,0
Panama,PAN,1/23/2020,0
Papua New Guinea,PNG,1/23/2020,0
Paraguay,PRY,1/23/2020,0
Peru,PER,1/23/2020,0
Philippines,PHL,1/23/2020,0
Poland,POL,1/23/2020,0
Portugal,PRT,1/23/2020,0
Qatar,QAT,1/23/2020,0
Romania,ROU,1/23/2020,0
Russia,RUS,1/23/2020,0
Rwanda,RWA,1/23/2020,0
Saint Kitts and Nevis,KNA,1/23/2020,0
Saint Lucia,LCA,1/23/2020,0
Saint Vincent and the Grenadines,VCT,1/23/2020,0
San Marino,SMR,1/23/2020,0
Sao Tome and Principe,STP,1/23/2020,0
Saudi Arabia,SAU,1/23/2020,0
Senegal,SEN,1/23/2020,0
Serbia,SRB,1/23/2020,0
Seychelles,SYC,1/23/2020,0
Sierra Leone,SLE,1/23/2020,0
Singapore,SGP,1/23/2020,1
Slovakia,SVK,1/23/2020,0
Slovenia,SVN,1/23/2020,0
Somalia,SOM,1/23/2020,0
South Africa,ZAF,1/23/2020,0
South Sudan,SSD,1/23/2020,0
Spain,ESP,1/23/2020,0
Sri Lanka,LKA,1/23/2020,0
Sudan,SDN,1/23/2020,0
Suriname,SUR,1/23/2020,0
Sweden,SWE,1/23/2020,0
Switzerland,CHE,1/23/2020,0
Syria,SYR,1/23/2020,0
Taiwan*,TWN,1/23/2020,1
Tanzania,TZA,1/23/2020,0
Thailand,THA,1/23/2020,3
Timor-Leste,TLS,1/23/2020,0
Togo,TGO,1/23/2020,0
Trinidad and Tobago,TTO,1/23/2020,0
Tunisia,TUN,1/23/2020,0
Turkey,TUR,1/23/2020,0
US,USA,1/23/2020,1
Uganda,UGA,1/23/2020,0
Ukraine,UKR,1/23/2020,0
United Arab Emirates,ARE,1/23/2020,0
United Kingdom,GBR,1/23/2020,0
Uruguay,URY,1/23/2020,0
Uzbekistan,UZB,1/23/2020,0
Venezuela,VEN,1/23/2020,0
Vietnam,VNM,1/23/2020,2
Western Sahara,ESH,1/23/2020,0
Yemen,YEM,1/23/2020,0
Zambia,ZMB,1/23/2020,0
Zimbabwe,ZWE,1/23/2020,0
Afghanistan,AFG,1/24/2020,0
Albania,ALB,1/24/2020,0
Algeria,DZA,1/24/2020,0
Andorra,AND,1/24/2020,0
Angola,AGO,1/24/2020,0
Antigua and Barbuda,ATG,1/24/2020,0
Argentina,ARG,1/24/2020,0
Armenia,ARM,1/24/2020,0
Australia,AUS,1/24/2020,0
Austria,AUT,1/24/2020,0
Azerbaijan,AZE,1/24/2020,0
Bahamas,BHS,1/24/2020,0
Bahrain,BHR,1/24/2020,0
Bangladesh,BGD,1/24/2020,0
Barbados,BRB,1/24/2020,0
Belarus,BLR,1/24/2020,0
Belgium,BEL,1/24/2020,0
Belize,BLZ,1/24/2020,0
Benin,BEN,1/24/2020,0
Bhutan,BTN,1/24/2020,0
Bolivia,BOL,1/24/2020,0
Bosnia and Herzegovina,BIH,1/24/2020,0
Botswana,BWA,1/24/2020,0
Brazil,BRA,1/24/2020,0
Brunei,BRN,1/24/2020,0
Bulgaria,BGR,1/24/2020,0
Burkina Faso,BFA,1/24/2020,0
Burma,BUM,1/24/2020,0
Burundi,BDI,1/24/2020,0
Cabo Verde,CPV,1/24/2020,0
Cambodia,KHM,1/24/2020,0
Cameroon,CMR,1/24/2020,0
Canada,CAN,1/24/2020,0
Central African Republic,CAF,1/24/2020,0
Chad,TCD,1/24/2020,0
Chile,CHL,1/24/2020,0
China,CHN,1/24/2020,920
Colombia,COL,1/24/2020,0
Congo (Brazzaville),COG,1/24/2020,0
Congo (Kinshasa),COD,1/24/2020,0
Costa Rica,CRI,1/24/2020,0
Cote d'Ivoire,CIV,1/24/2020,0
Croatia,HRV,1/24/2020,0
Cuba,CUB,1/24/2020,0
Cyprus,CYP,1/24/2020,0
Czechia,CZE,1/24/2020,0
Denmark,DNK,1/24/2020,0
Djibouti,DJI,1/24/2020,0
Dominica,DMA,1/24/2020,0
Dominican Republic,DOM,1/24/2020,0
Ecuador,ECU,1/24/2020,0
Egypt,EGY,1/24/2020,0
El Salvador,SLV,1/24/2020,0
Equatorial Guinea,GNQ,1/24/2020,0
Eritrea,ERI,1/24/2020,0
Estonia,EST,1/24/2020,0
Eswatini,SWZ,1/24/2020,0
Ethiopia,ETH,1/24/2020,0
Fiji,FJI,1/24/2020,0
Finland,FIN,1/24/2020,0
France,FRA,1/24/2020,2
Gabon,GAB,1/24/2020,0
Gambia,GMB,1/24/2020,0
Georgia,GEO,1/24/2020,0
Germany,DEU,1/24/2020,0
Ghana,GHA,1/24/2020,0
Greece,GRC,1/24/2020,0
Grenada,GRD,1/24/2020,0
Guatemala,GTM,1/24/2020,0
Guinea,GIN,1/24/2020,0
Guinea-Bissau,GNB,1/24/2020,0
Guyana,GUY,1/24/2020,0
Haiti,HTI,1/24/2020,0
Holy See,VAT,1/24/2020,0
Honduras,HND,1/24/2020,0
Hungary,HUN,1/24/2020,0
Iceland,ISL,1/24/2020,0
India,IND,1/24/2020,0
Indonesia,IDN,1/24/2020,0
Iran,IRN,1/24/2020,0
Iraq,IRQ,1/24/2020,0
Ireland,IRL,1/24/2020,0
Israel,ISR,1/24/2020,0
Italy,ITA,1/24/2020,0
Jamaica,JAM,1/24/2020,0
Japan,JPN,1/24/2020,2
Jordan,JOR,1/24/2020,0
Kazakhstan,KAZ,1/24/2020,0
Kenya,KEN,1/24/2020,0
"Korea, South",KOR,1/24/2020,2
Kosovo,RKS,1/24/2020,0
Kuwait,KWT,1/24/2020,0
Kyrgyzstan,KGZ,1/24/2020,0
Laos,LAO,1/24/2020,0
Latvia,LVA,1/24/2020,0
Lebanon,LBN,1/24/2020,0
Liberia,LBR,1/24/2020,0
Libya,LBY,1/24/2020,0
Liechtenstein,LIE,1/24/2020,0
Lithuania,LTU,1/24/2020,0
Luxembourg,LUX,1/24/2020,0
Madagascar,MDG,1/24/2020,0
Malawi,MWI,1/24/2020,0
Malaysia,MYS,1/24/2020,0
Maldives,MDV,1/24/2020,0
Mali,MLI,1/24/2020,0
Malta,MLT,1/24/2020,0
Mauritania,MRT,1/24/2020,0
Mauritius,MUS,1/24/2020,0
Mexico,MEX,1/24/2020,0
Moldova,MDA,1/24/2020,0
Monaco,MCO,1/24/2020,0
Mongolia,MNG,1/24/2020,0
Montenegro,MNE,1/24/2020,0
Morocco,MAR,1/24/2020,0
Mozambique,MOZ,1/24/2020,0
Namibia,NAM,1/24/2020,0
Nepal,NPL,1/24/2020,0
Netherlands,NLD,1/24/2020,0
New Zealand,NZL,1/24/2020,0
Nicaragua,NIC,1/24/2020,0
Niger,NER,1/24/2020,0
Nigeria,NGA,1/24/2020,0
North Macedonia,MKD,1/24/2020,0
Norway,NOR,1/24/2020,0
Oman,OMN,1/24/2020,0
Pakistan,PAK,1/24/2020,0
Panama,PAN,1/24/2020,0
Papua New Guinea,PNG,1/24/2020,0
Paraguay,PRY,1/24/2020,0
Peru,PER,1/24/2020,0
Philippines,PHL,1/24/2020,0
Poland,POL,1/24/2020,0
Portugal,PRT,1/24/2020,0
Qatar,QAT,1/24/2020,0
Romania,ROU,1/24/2020,0
Russia,RUS,1/24/2020,0
Rwanda,RWA,1/24/2020,0
Saint Kitts and Nevis,KNA,1/24/2020,0
Saint Lucia,LCA,1/24/2020,0
Saint Vincent and the Grenadines,VCT,1/24/2020,0
San Marino,SMR,1/24/2020,0
Sao Tome and Principe,STP,1/24/2020,0
Saudi Arabia,SAU,1/24/2020,0
Senegal,SEN,1/24/2020,0
Serbia,SRB,1/24/2020,0
Seychelles,SYC,1/24/2020,0
Sierra Leone,SLE,1/24/2020,0
Singapore,SGP,1/24/2020,3
Slovakia,SVK,1/24/2020,0
Slovenia,SVN,1/24/2020,0
Somalia,SOM,1/24/2020,0
South Africa,ZAF,1/24/2020,0
South Sudan,SSD,1/24/2020,0
Spain,ESP,1/24/2020,0
Sri Lanka,LKA,1/24/2020,0
Sudan,SDN,1/24/2020,0
Suriname,SUR,1/24/2020,0
Sweden,SWE,1/24/2020,0
Switzerland,CHE,1/24/2020,0
Syria,SYR,1/24/2020,0
Taiwan*,TWN,1/24/2020,3
Tanzania,TZA,1/24/2020,0
Thailand,THA,1/24/2020,5
Timor-Leste,TLS,1/24/2020,0
Togo,TGO,1/24/2020,0
Trinidad and Tobago,TTO,1/24/2020,0
Tunisia,TUN,1/24/2020,0
Turkey,TUR,1/24/2020,0
US,USA,1/24/2020,2
Uganda,UGA,1/24/2020,0
Ukraine,UKR,1/24/2020,0
United Arab Emirates,ARE,1/24/2020,0
United Kingdom,GBR,1/24/2020,0
Uruguay,URY,1/24/2020,0
Uzbekistan,UZB,1/24/2020,0
Venezuela,VEN,1/24/2020,0
Vietnam,VNM,1/24/2020,2
Western Sahara,ESH,1/24/2020,0
Yemen,YEM,1/24/2020,0
Zambia,ZMB,1/24/2020,0
Zimbabwe,ZWE,1/24/2020,0
Afghanistan,AFG,1/25/2020,0
Albania,ALB,1/25/2020,0
Algeria,DZA,1/25/2020,0
Andorra,AND,1/25/2020,0
Angola,AGO,1/25/2020,0
Antigua and Barbuda,ATG,1/25/2020,0
Argentina,ARG,1/25/2020,0
Armenia,ARM,1/25/2020,0
Australia,AUS,1/25/2020,0
Austria,AUT,1/25/2020,0
Azerbaijan,AZE,1/25/2020,0
Bahamas,BHS,1/25/2020,0
Bahrain,BHR,1/25/2020,0
Bangladesh,BGD,1/25/2020,0
Barbados,BRB,1/25/2020,0
Belarus,BLR,1/25/2020,0
Belgium,BEL,1/25/2020,0
Belize,BLZ,1/25/2020,0
Benin,BEN,1/25/2020,0
Bhutan,BTN,1/25/2020,0
Bolivia,BOL,1/25/2020,0
Bosnia and Herzegovina,BIH,1/25/2020,0
Botswana,BWA,1/25/2020,0
Brazil,BRA,1/25/2020,0
Brunei,BRN,1/25/2020,0
Bulgaria,BGR,1/25/2020,0
Burkina Faso,BFA,1/25/2020,0
Burma,BUM,1/25/2020,0
Burundi,BDI,1/25/2020,0
Cabo Verde,CPV,1/25/2020,0
Cambodia,KHM,1/25/2020,0
Cameroon,CMR,1/25/2020,0
Canada,CAN,1/25/2020,0
Central African Republic,CAF,1/25/2020,0
Chad,TCD,1/25/2020,0
Chile,CHL,1/25/2020,0
China,CHN,1/25/2020,1406
Colombia,COL,1/25/2020,0
Congo (Brazzaville),COG,1/25/2020,0
Congo (Kinshasa),COD,1/25/2020,0
Costa Rica,CRI,1/25/2020,0
Cote d'Ivoire,CIV,1/25/2020,0
Croatia,HRV,1/25/2020,0
Cuba,CUB,1/25/2020,0
Cyprus,CYP,1/25/2020,0
Czechia,CZE,1/25/2020,0
Denmark,DNK,1/25/2020,0
Djibouti,DJI,1/25/2020,0
Dominica,DMA,1/25/2020,0
Dominican Republic,DOM,1/25/2020,0
Ecuador,ECU,1/25/2020,0
Egypt,EGY,1/25/2020,0
El Salvador,SLV,1/25/2020,0
Equatorial Guinea,GNQ,1/25/2020,0
Eritrea,ERI,1/25/2020,0
Estonia,EST,1/25/2020,0
Eswatini,SWZ,1/25/2020,0
Ethiopia,ETH,1/25/2020,0
Fiji,FJI,1/25/2020,0
Finland,FIN,1/25/2020,0
France,FRA,1/25/2020,3
Gabon,GAB,1/25/2020,0
Gambia,GMB,1/25/2020,0
Georgia,GEO,1/25/2020,0
Germany,DEU,1/25/2020,0
Ghana,GHA,1/25/2020,0
Greece,GRC,1/25/2020,0
Grenada,GRD,1/25/2020,0
Guatemala,GTM,1/25/2020,0
Guinea,GIN,1/25/2020,0
Guinea-Bissau,GNB,1/25/2020,0
Guyana,GUY,1/25/2020,0
Haiti,HTI,1/25/2020,0
Holy See,VAT,1/25/2020,0
Honduras,HND,1/25/2020,0
Hungary,HUN,1/25/2020,0
Iceland,ISL,1/25/2020,0
India,IND,1/25/2020,0
Indonesia,IDN,1/25/2020,0
Iran,IRN,1/25/2020,0
Iraq,IRQ,1/25/2020,0
Ireland,IRL,1/25/2020,0
Israel,ISR,1/25/2020,0
Italy,ITA,1/25/2020,0
Jamaica,JAM,1/25/2020,0
Japan,JPN,1/25/2020,2
Jordan,JOR,1/25/2020,0
Kazakhstan,KAZ,1/25/2020,0
Kenya,KEN,1/25/2020,0
"Korea, South",KOR,1/25/2020,2
Kosovo,RKS,1/25/2020,0
Kuwait,KWT,1/25/2020,0
Kyrgyzstan,KGZ,1/25/2020,0
Laos,LAO,1/25/2020,0
Latvia,LVA,1/25/2020,0
Lebanon,LBN,1/25/2020,0
Liberia,LBR,1/25/2020,0
Libya,LBY,1/25/2020,0
Liechtenstein,LIE,1/25/2020,0
Lithuania,LTU,1/25/2020,0
Luxembourg,LUX,1/25/2020,0
Madagascar,MDG,1/25/2020,0
Malawi,MWI,1/25/2020,0
Malaysia,MYS,1/25/2020,3
Maldives,MDV,1/25/2020,0
Mali,MLI,1/25/2020,0
Malta,MLT,1/25/2020,0
Mauritania,MRT,1/25/2020,0
Mauritius,MUS,1/25/2020,0
Mexico,MEX,1/25/2020,0
Moldova,MDA,1/25/2020,0
Monaco,MCO,1/25/2020,0
Mongolia,MNG,1/25/2020,0
Montenegro,MNE,1/25/2020,0
Morocco,MAR,1/25/2020,0
Mozambique,MOZ,1/25/2020,0
Namibia,NAM,1/25/2020,0
Nepal,NPL,1/25/2020,1
Netherlands,NLD,1/25/2020,0
New Zealand,NZL,1/25/2020,0
Nicaragua,NIC,1/25/2020,0
Niger,NER,1/25/2020,0
Nigeria,NGA,1/25/2020,0
North Macedonia,MKD,1/25/2020,0
Norway,NOR,1/25/2020,0
Oman,OMN,1/25/2020,0
Pakistan,PAK,1/25/2020,0
Panama,PAN,1/25/2020,0
Papua New Guinea,PNG,1/25/2020,0
Paraguay,PRY,1/25/2020,0
Peru,PER,1/25/2020,0
Philippines,PHL,1/25/2020,0
Poland,POL,1/25/2020,0
Portugal,PRT,1/25/2020,0
Qatar,QAT,1/25/2020,0
Romania,ROU,1/25/2020,0
Russia,RUS,1/25/2020,0
Rwanda,RWA,1/25/2020,0
Saint Kitts and Nevis,KNA,1/25/2020,0
Saint Lucia,LCA,1/25/2020,0
Saint Vincent and the Grenadines,VCT,1/25/2020,0
San Marino,SMR,1/25/2020,0
Sao Tome and Principe,STP,1/25/2020,0
Saudi Arabia,SAU,1/25/2020,0
Senegal,SEN,1/25/2020,0
Serbia,SRB,1/25/2020,0
Seychelles,SYC,1/25/2020,0
Sierra Leone,SLE,1/25/2020,0
Singapore,SGP,1/25/2020,3
Slovakia,SVK,1/25/2020,0
Slovenia,SVN,1/25/2020,0
Somalia,SOM,1/25/2020,0
South Africa,ZAF,1/25/2020,0
South Sudan,SSD,1/25/2020,0
Spain,ESP,1/25/2020,0
Sri Lanka,LKA,1/25/2020,0
Sudan,SDN,1/25/2020,0
Suriname,SUR,1/25/2020,0
Sweden,SWE,1/25/2020,0
Switzerland,CHE,1/25/2020,0
Syria,SYR,1/25/2020,0
Taiwan*,TWN,1/25/2020,3
Tanzania,TZA,1/25/2020,0
Thailand,THA,1/25/2020,7
Timor-Leste,TLS,1/25/2020,0
Togo,TGO,1/25/2020,0
Trinidad and Tobago,TTO,1/25/2020,0
Tunisia,TUN,1/25/2020,0
Turkey,TUR,1/25/2020,0
US,USA,1/25/2020,2
Uganda,UGA,1/25/2020,0
Ukraine,UKR,1/25/2020,0
United Arab Emirates,ARE,1/25/2020,0
United Kingdom,GBR,1/25/2020,0
Uruguay,URY,1/25/2020,0
Uzbekistan,UZB,1/25/2020,0
Venezuela,VEN,1/25/2020,0
Vietnam,VNM,1/25/2020,2
Western Sahara,ESH,1/25/2020,0
Yemen,YEM,1/25/2020,0
Zambia,ZMB,1/25/2020,0
Zimbabwe,ZWE,1/25/2020,0
Afghanistan,AFG,1/26/2020,0
Albania,ALB,1/26/2020,0
Algeria,DZA,1/26/2020,0
Andorra,AND,1/26/2020,0
Angola,AGO,1/26/2020,0
Antigua and Barbuda,ATG,1/26/2020,0
Argentina,ARG,1/26/2020,0
Armenia,ARM,1/26/2020,0
Australia,AUS,1/26/2020,4
Austria,AUT,1/26/2020,0
Azerbaijan,AZE,1/26/2020,0
Bahamas,BHS,1/26/2020,0
Bahrain,BHR,1/26/2020,0
Bangladesh,BGD,1/26/2020,0
